t 1 2 jL0100 
11.62 1.37983 0.751244 0.96015 
11.64 1.38367 0.740283 0.932476 
11.66 1.38718 0.729209 0.904733 
11.68 1.39036 0.718026 0.876926 
11.7 1.39321 0.706738 0.849061 
11.72 1.39572 0.695347 0.821147 
11.74 1.39791 0.683857 0.793189 
11.76 1.39977 0.67227 0.765193 
11.78 1.4013 0.66059 0.737167 
11.8 1.40251 0.648819 0.709117 
11.82 1.40339 0.636962 0.68105 
11.84 1.40395 0.62502 0.652971 
11.86 1.40418 0.612998 0.624887 
11.88 1.4041 0.600898 0.596805 
11.9 1.4037 0.588724 0.568731 
11.92 1.40299 0.576478 0.540671 
11.94 1.40196 0.564164 0.512632 
11.96 1.40061 0.551785 0.48462 
11.98 1.39896 0.539344 0.456641 
12 1.397 0.526845 0.428701 
12.02 1.39473 0.514289 0.400806 
12.04 1.39215 0.501681 0.372963 
12.06 1.38927 0.489024 0.345178 
12.08 1.3861 0.47632 0.317456 
12.1 1.38262 0.463573 0.289803 
12.12 1.37885 0.450786 0.262226 
12.14 1.37479 0.437962 0.234731 
12.16 1.37043 0.425105 0.207322 
12.18 1.36579 0.412216 0.180006 
12.2 1.36086 0.3993 0.152789 
12.22 1.35564 0.386359 0.125676 
12.24 1.35015 0.373397 0.0986733 
12.26 1.34438 0.360416 0.0717858 
12.28 1.33833 0.347419 0.0450192 
12.3 1.33201 0.33441 0.0183791 
12.32 1.32542 0.321392 -0.00812924 
12.34 1.31856 0.308368 -0.0345004 
12.36 1.31144 0.295339 -0.0607292 
12.38 1.30405 0.282311 -0.0868103 
12.4 1.29641 0.269285 -0.112739 
12.42 1.28852 0.256264 -0.138509 
12.44 1.28037 0.243251 -0.164116 
12.46 1.27198 0.23025 -0.189556 
12.48 1.26333 0.217263 -0.214823 
12.5 1.25445 0.204293 -0.239912 
12.52 1.24533 0.191343 -0.264818 
12.54 1.23597 0.178416 -0.289537 
12.56 1.22638 0.165514 -0.314065 
12.58 1.21656 0.15264 -0.338396 
12.6 1.20651 0.139798 -0.362526 
12.62 1.19624 0.126989 -0.386451 
12.64 1.18575 0.114217 -0.410166 
12.66 1.17505 0.101485 -0.433667 
12.68 1.16413 0.0887939 -0.45695 
12.7 1.15301 0.0761478 -0.48001 
12.72 1.14168 0.063549 -0.502844 
12.74 1.13015 0.0510001 -0.525447 
12.76 1.11843 0.0385036 -0.547815 
12.78 1.10651 0.0260622 -0.569945 
12.8 1.0944 0.0136784 -0.591833 
12.82 1.0821 0.00135472 -0.613475 
12.84 1.06962 -0.0109064 -0.634868 
12.86 1.05696 -0.0231024 -0.656007 
12.88 1.04413 -0.035231 -0.67689 
12.9 1.03113 -0.0472896 -0.697512 
12.92 1.01795 -0.059276 -0.717871 
12.94 1.00462 -0.0711878 -0.737964 
12.96 0.991123 -0.0830226 -0.757786 
12.98 0.977472 -0.0947782 -0.777336 
13 0.963669 -0.106452 -0.796609 
13.02 0.949718 -0.118043 -0.815603 
13.04 0.935622 -0.129547 -0.834316 
13.06 0.921387 -0.140963 -0.852744 
13.08 0.907015 -0.15229 -0.870884 
13.1 0.892511 -0.163523 -0.888734 
